time_step,new_reqs_presented,reqs_rejected,reqs_abandonned,obj_cost,in_transit_carried_over,solve_time_seconds,mip_gap,node_count,solve_status
0,18,7,0,1952.890199999627,8,240.00707006454468,0.9917714042573269,72136.0,9
10,14,9,0,2118.7007881823943,9,240.00774884223938,0.9887886089809407,42278.0,9
20,18,13,5,3122.706699999982,9,240.00803017616272,0.9945321088976043,12229.0,9
30,19,17,1,4010.150299999997,9,240.00670409202576,0.994549957569991,8195.0,9
40,24,16,3,4020.1787999999415,12,240.01940298080444,0.99470644684532,5083.0,9
