passenger_id,total_time_minibus,total_time_bus,status,time_difference
P102,953.4558853087894,1431.4558853087894,ARRIVED,-478.0
P1038,803.7778547483485,582.177879162411,ARRIVED,221.5999755859375
P1059,475.2418997583536,603.4419119653849,ARRIVED,-128.20001220703125
P1108,700.6198066390025,570.6198097785109,ARRIVED,129.9999968604916
P1109,698.2777844386173,568.2777877270273,ARRIVED,129.99999671159003
P1162,450.17576633416047,528.5757297130667,ARRIVED,-78.39996337890625
P1282,407.1149468184976,446.9149346114664,ARRIVED,-39.79998779296881
P129,1060.2333519364329,2400.0,ABANDONED,-1339.7666480635671
P1328,514.9701029923808,572.7700893074098,ARRIVED,-57.799986315028946
P1336,1007.0858500613922,1080.8858319528454,ARRIVED,-73.79998189145317
P1369,379.79772649397546,377.797748504925,ARRIVED,1.9999779890504783
P1387,1036.364358778383,1387.3643435195936,ARRIVED,-350.9999847412107
P1402,361.9158345807564,633.1158315289986,ARRIVED,-271.1999969482422
P150,1247.1602556176404,822.7602722268168,ARRIVED,424.39998339082354
P1528,469.802089091635,1221.6020773829496,ARRIVED,-751.7999882913145
P1597,702.0033976457908,1001.6033869708816,ARRIVED,-299.59998932509086
P1599,1021.0608068367136,1067.460785474409,ARRIVED,-46.399978637695426
P1628,757.430440518061,1407.0304280160144,ARRIVED,-649.5999874979534
P1711,1365.6520828612447,995.2520999282352,ARRIVED,370.3999829330095
P1809,837.0334842830671,737.6334998297261,ARRIVED,99.39998445334095
P1821,924.1632544883904,840.563262675516,ARRIVED,83.59999181287446
P192,1172.2325114974456,2400.0,ABANDONED,-1227.7674885025544
P1945,2142.5389299018407,627.7389444359924,ARRIVED,1514.7999854658483
P198,856.8307367238754,976.0307863129848,ARRIVED,-119.20004958910943
P2101,1250.5279866675935,1512.9280184525487,ARRIVED,-262.4000317849552
P2105,2471.1875525161195,1306.1875642903217,ARRIVED,1164.9999882257978
P22,327.2616931979127,2400.0,ABANDONED,-2072.738306802087
P2493,506.8558840584683,848.655881336701,ARRIVED,-341.7999972782327
P25,844.1005312078948,2400.0,ABANDONED,-1555.8994687921052
P2507,487.27007495542784,859.4700871624591,ARRIVED,-372.20001220703125
P2540,454.7286202947034,469.72863188699193,ARRIVED,-15.000011592288558
P2620,1206.6515885317149,1328.2515939033965,ARRIVED,-121.60000537168162
P2651,499.74455801564,518.5445583206601,ARRIVED,-18.80000030502015
P2668,917.7763374115202,1522.576323882049,ARRIVED,-604.7999864705289
P2707,818.2539960766571,604.0539838696259,ARRIVED,214.20001220703125
P2749,1106.577242389871,719.1772438375883,ARRIVED,387.39999855228257
P2892,791.947831072881,1192.7478386240418,ARRIVED,-400.8000075511609
P293,1713.9598032227163,582.1598154297476,ARRIVED,1131.7999877929688
P3009,608.8141827110467,584.8141935773565,ARRIVED,23.99998913369018
P3040,482.5290981242051,1318.7291152357138,ARRIVED,-836.2000171115087
P3061,781.5515851858054,1302.5515995327714,ARRIVED,-521.000014346966
P309,790.3162119591475,944.7162249291182,ARRIVED,-154.4000129699707
P3131,554.1128668673737,1569.1128633204826,ARRIVED,-1014.9999964531089
P3188,764.2305459632298,989.2305422221434,ARRIVED,-224.9999962589136
P3236,603.7678638643793,1046.9678739170358,ARRIVED,-443.2000100526566
P3237,542.8298436387104,986.0298534459926,ARRIVED,-443.2000098072822
P3290,295.0015840794513,810.001581739989,ARRIVED,-514.9999976605377
P331,812.5480525321734,931.7480667897272,ARRIVED,-119.20001425755379
P3431,998.0746003532148,906.4746095084884,ARRIVED,91.59999084472645
P3442,786.0069791493133,1012.6069547352508,ARRIVED,-226.5999755859375
P3456,883.2097118410784,1520.409743349861,ARRIVED,-637.2000315087826
P3491,790.0535657955734,1221.6535566403,ARRIVED,-431.59999084472656
P3495,570.3967675884342,1001.9967584331608,ARRIVED,-431.5999908447267
P354,853.1538426391044,974.1538426391044,ARRIVED,-121.0
P3561,631.3706655627393,1352.5706625109815,ARRIVED,-721.1999969482422
P3588,1594.6313282783867,651.6313130195977,ARRIVED,943.0000152587891
P3594,1512.1042676012405,1340.904255394209,ARRIVED,171.20001220703148
P3632,1026.6424527363888,619.4424340754249,ARRIVED,407.2000186609639
P3650,1491.5629148966418,886.1629057413684,ARRIVED,605.4000091552734
P3657,1767.44896378691,589.6489607351523,ARRIVED,1177.8000030517578
P3793,862.5891633191768,2400.0,ABANDONED,-1537.4108366808232
