time_step,new_reqs_presented,reqs_rejected,reqs_abandonned,obj_cost,in_transit_carried_over,opt_time_seconds,opt_status,mip_gap,bb_nodes,num_vars,num_constrs
0,12,0,0,89.20600000000013,11,480.0688910484314,Time Limit,0.5778023207553158,15603.0,20450,52934
10,8,0,0,130.0683997561573,9,480.58393907546997,Time Limit,0.09138244944567459,29415.0,41247,130795
20,11,0,0,34515.27560000059,10,480.13067293167114,Time Limit,0.9694729209918238,17855.0,44922,144659
30,7,0,0,103.21249951405844,7,480.06416487693787,Time Limit,0.04706046368759267,48725.0,34425,105074
40,11,0,0,145.70190000000002,13,480.04870891571045,Time Limit,0.4295618148648113,15026.0,37748,117509
50,6,0,0,156.51699999999983,11,66.42972898483276,Optimal,0.0,13284.0,41247,130837
60,11,0,0,171.03510000000097,12,480.18795585632324,Time Limit,0.45186811252485914,5976.0,52800,174625
