bus_id,decision_interval,step_sequence,logical_node,action,horizon_status,location,arrival_time,pax_exchange,passenger_load
4,50,0,42,Start,Executed,8592374,0.0,0,0
4,50,1,7,Pickup,Executed,8592374,50.25,3,0
4,50,2,2,Pickup,Executed,8577785,58.15,2,3
4,50,3,21,Dropoff,Planned,8577786,60.56,-2,5
4,50,4,26,Dropoff,Planned,8589130,64.87,-3,3
4,50,5,64,End,Planned,0,65.0,0,0
4,60,0,48,Start,Executed,8577785,0.0,0,0
4,60,1,13,Pickup,Executed,8577785,52.0,2,0
4,60,2,16,Pickup,Executed,8577785,52.0,3,2
4,60,3,35,Dropoff,Executed,8577786,56.35,-2,5
4,60,4,38,Dropoff,Executed,8589130,61.0,-3,3
4,60,5,70,End,Planned,0,62.0,0,0
5,0,0,29,Start,Executed,8592374,0.0,0,2
5,0,1,51,End,Planned,0,0.0,0,2
5,10,0,43,Start,Executed,8592374,0.0,0,0
5,10,1,65,End,Planned,0,705.0,0,0
5,20,0,45,Start,Executed,8592374,0.0,0,0
5,20,1,5,Pickup,Executed,8589161,21.0,3,0
5,20,2,25,Dropoff,Executed,8588351,23.72,-3,3
5,20,3,67,End,Planned,0,24.0,0,0
5,30,0,39,Start,Executed,8588351,0.0,0,0
5,30,1,61,End,Planned,0,383.0,0,0
5,40,0,41,Start,Executed,8588351,0.0,0,0
5,40,1,63,End,Planned,0,308.0,0,0
5,50,0,43,Start,Executed,8588351,0.0,0,0
5,50,1,65,End,Planned,0,775.0,0,0
5,60,0,49,Start,Executed,8588351,0.0,0,0
5,60,1,71,End,Planned,0,0.0,0,0
6,0,0,30,Start,Executed,8589270,0.0,0,0
6,0,1,52,End,Planned,0,690.0,0,0
6,10,0,44,Start,Executed,8589270,0.0,0,0
6,10,1,66,End,Planned,0,706.0,0,0
6,20,0,46,Start,Executed,8589270,0.0,0,6
6,20,1,68,End,Planned,0,699.0,0,6
6,30,0,40,Start,Executed,8589270,0.0,0,0
6,30,1,1,Pickup,Planned,8591767,41.48,3,0
6,30,2,3,Pickup,Planned,8504622,42.04,3,3
6,30,3,18,Dropoff,Planned,8589152,44.65,-3,6
6,30,4,20,Dropoff,Planned,8589141,45.65,-3,3
6,30,5,62,End,Planned,0,46.0,0,0
6,40,0,42,Start,Executed,8589270,0.0,0,0
6,40,1,12,Pickup,Executed,8591767,41.2,3,0
6,40,2,14,Pickup,Executed,8504622,41.87,3,3
6,40,3,30,Dropoff,Executed,8589152,44.43,-3,6
6,40,4,32,Dropoff,Executed,8589141,45.32,-3,3
6,40,5,64,End,Planned,0,46.0,0,0
6,50,0,44,Start,Executed,8589141,0.0,0,0
6,50,1,66,End,Planned,0,775.0,0,0
6,60,0,50,Start,Executed,8589141,0.0,0,0
6,60,1,72,End,Planned,0,0.0,0,0
7,0,0,31,Start,Executed,8589158,0.0,0,0
7,0,1,9,Pickup,Executed,8589158,0.0,5,0
7,0,2,21,Dropoff,Executed,8589147,6.87,-5,5
7,0,3,53,End,Planned,0,7.0,0,0
7,10,0,45,Start,Executed,8589147,0.0,0,0
7,10,1,67,End,Planned,0,706.0,0,0
7,20,0,47,Start,Executed,8589147,0.0,0,0
7,20,1,69,End,Planned,0,699.0,0,0
7,30,0,41,Start,Executed,8589147,0.0,0,0
7,30,1,0,Pickup,Executed,8589158,10.0,4,0
7,30,2,17,Dropoff,Planned,8589155,54.87,-4,4
7,30,3,63,End,Planned,0,55.0,0,0
7,40,0,43,Start,Executed,8589158,0.0,0,0
7,40,1,11,Pickup,Executed,8589158,47.43,4,0
7,40,2,29,Dropoff,Planned,8589155,62.28,-4,4
7,40,3,65,End,Planned,0,63.0,0,0
