bus_id,decision_interval,step_sequence,logical_node,location,arrival_time,passenger_load
0,0,0,36,8589131,0.0,0
0,0,1,12,8589155,9.32,4
0,0,2,30,8592374,10.66,0
0,0,3,2,8587255,14.26,3
0,0,4,14,8589161,16.43,4
0,0,5,20,8577820,20.57,1
0,0,6,32,8577820,20.6,0
0,0,7,6,8587255,25.82,1
0,0,8,24,8588858,33.81,0
0,10,0,48,8589155,0.0,0
0,10,1,17,8589155,0.0,4
0,10,2,41,8592374,3.3,0
0,10,3,12,8589161,5.54,1
0,10,4,36,8592374,7.92,0
0,10,5,19,8587255,11.53,3
0,10,6,23,8589161,13.7,4
0,10,7,43,8577820,17.83,1
0,10,8,47,8577820,17.87,0
0,10,9,20,8587255,23.09,1
0,10,10,44,8588858,31.07,0
0,10,11,2,8577786,37.23,2
0,10,12,26,8577741,45.07,0
0,20,0,50,8577820,0.0,0
0,20,1,24,8587255,8.0,1
0,20,2,49,8588858,16.14,0
0,20,3,17,8589154,17.07,3
0,20,4,42,8587238,27.36,0
0,20,5,22,8577786,35.45,2
0,20,6,47,8577741,43.48,0
0,20,7,11,8588858,45.74,5
0,20,8,36,8589155,46.86,0
0,20,9,2,8577741,49.92,4
0,20,10,27,8592377,58.49,0
0,20,11,10,8592377,58.53,1
0,20,12,35,8589154,68.98,0
0,30,0,56,8587238,0.0,0
0,30,1,7,8589161,31.0,1
0,30,2,35,8588351,33.72,0
0,30,3,25,8588858,38.52,5
0,30,4,53,8589155,39.64,0
0,30,5,21,8577741,42.71,4
0,30,6,49,8592377,51.27,0
0,30,7,24,8592377,51.31,1
0,30,8,27,8577786,54.52,3
0,30,9,55,8577741,62.55,1
0,30,10,52,8589154,64.04,0
0,30,11,4,8577741,65.36,2
0,30,12,32,8592378,74.27,0
0,40,0,64,8589155,0.0,0
0,40,1,31,8577786,9.42,2
0,40,2,16,8577785,30.41,3
0,40,3,48,8588858,38.39,2
0,40,4,26,8577741,40.54,6
0,40,5,63,8577741,40.58,4
0,40,6,58,8592377,51.6,0
0,40,7,29,8592377,51.63,1
0,40,8,25,8577741,61.29,3
0,40,9,61,8589154,62.81,2
0,40,10,57,8592378,74.79,0
0,50,0,64,8577741,7.0,1
0,50,1,26,8577741,7.0,5
0,50,2,31,8592377,47.98,6
0,50,3,58,8592377,48.02,2
0,50,4,25,8577820,54.98,3
0,50,5,57,8588858,61.45,2
0,50,6,63,8589154,62.41,1
0,50,7,30,8577741,63.74,3
0,50,8,62,8592378,74.28,1
0,50,9,11,8577820,79.85,2
0,50,10,43,8589131,86.35,1
0,60,0,74,8577820,48.0,0
0,60,1,30,8577820,48.0,1
0,60,2,31,8577820,48.0,2
0,60,3,67,8588858,54.82,1
0,60,4,68,8589154,57.33,0
0,60,5,36,8577741,58.7,2
0,60,6,73,8592378,70.6,0
0,60,7,33,8577820,78.11,1
0,60,8,70,8589131,84.82,0
0,60,9,7,8592375,92.12,2
0,60,10,44,8591767,107.0,0
1,0,0,37,8589141,0.0,0
1,0,1,5,8589152,0.7,2
1,0,2,4,8589138,6.0,3
1,0,3,22,8587356,8.74,2
1,0,4,10,8587255,15.34,3
1,0,5,23,8587255,15.38,1
1,0,6,8,8587255,15.42,3
1,0,7,26,8589158,23.05,1
1,0,8,28,8589141,26.96,0
1,10,0,49,8587356,0.0,0
1,10,1,18,8587356,0.0,2
1,10,2,21,8587255,7.57,4
1,10,3,42,8587255,10.04,2
1,10,4,22,8587255,10.07,3
1,10,5,45,8589158,17.71,1
1,10,6,46,8589141,21.62,0
1,10,7,0,8589152,22.35,1
1,10,8,4,8589152,22.39,4
1,10,9,28,8592378,38.27,1
1,10,10,24,8592377,39.27,0
1,10,11,1,8587238,46.16,2
1,10,12,25,8589141,57.32,0
1,20,0,51,8589158,0.0,0
1,20,1,19,8589158,0.0,1
1,20,2,44,8589141,12.85,0
1,20,3,20,8589152,13.59,1
1,20,4,23,8589152,20.04,4
1,20,5,48,8592378,38.46,1
1,20,6,45,8592377,39.46,0
1,20,7,21,8587238,46.52,2
1,20,8,9,8504622,55.53,4
1,20,9,46,8589141,57.94,2
1,20,10,34,8589141,57.98,0
1,20,11,7,8591767,60.79,2
1,20,12,32,8589152,63.02,0
1,30,0,57,8589152,0.0,2
1,30,1,19,8589152,0.0,3
1,30,2,20,8589152,20.0,6
1,30,3,48,8592378,38.42,3
1,30,4,47,8592377,39.43,2
1,30,5,26,8587238,46.48,4
1,30,6,22,8591767,55.59,6
1,30,7,23,8504622,56.16,8
1,30,8,50,8589152,57.83,6
1,30,9,54,8589141,58.61,4
1,30,10,51,8589141,58.65,2
1,40,0,65,8592377,0.0,1
1,40,1,30,8587238,7.15,3
1,40,2,27,8591767,37.11,5
1,40,3,28,8504622,40.62,7
1,40,4,59,8589152,42.19,5
1,40,5,62,8589141,42.95,3
1,40,6,60,8589141,42.99,1
1,40,7,21,8504622,45.31,3
1,40,8,53,8589147,46.29,1
1,40,9,20,8589158,47.16,2
1,40,10,7,8589138,51.0,4
1,40,11,39,8589152,51.94,2
1,40,12,6,8589154,66.04,3
1,40,13,52,8589155,69.47,2
1,40,14,38,8504622,84.38,1
1,50,0,65,8589158,18.8,5
1,50,1,27,8589158,18.8,6
1,50,2,29,8589138,51.0,8
1,50,3,61,8589152,51.94,6
1,50,4,28,8589154,66.04,7
1,50,5,59,8589155,68.46,6
1,50,6,12,8589147,80.52,8
