bus_id,interval,logical_node,location,arrival_time,passenger_load
0,0,36,8587238,0.0,0.0
0,0,12,8589155,8.720000000000084,4.0
0,0,30,8592374,10.056666666666743,0.0
0,0,11,8589161,12.293333333333406,1.0
0,0,29,8592374,14.680000000000199,0.0
0,0,9,8588858,21.146666666666867,2.0
0,0,10,8587255,26.983333333333334,3.0
0,0,27,8589147,33.72000000000019,1.0
0,0,28,8589141,36.986666666666856,0.0
0,10,48,8589155,0.0,2.0
0,10,17,8589155,0.0,6.0
0,10,41,8592374,3.3,2.0
0,10,23,8589161,5.5366666666663775,3.0
0,10,47,8592374,7.92333333333292,2.0
0,10,21,8588858,14.389999999999588,4.0
0,10,22,8587255,20.226666666666233,5.0
0,10,0,8589152,27.86333333333289,6.0
0,10,46,8589141,28.65,5.0
0,10,45,8589147,32.981666666666285,3.0
0,10,24,8592377,48.044999999999504,2.0
0,20,54,8588858,0.0,2.0
0,20,21,8588858,0.0,4.0
0,20,26,8587255,12.263333333333335,5.0
0,20,23,8589152,20.0,6.0
0,20,53,8589141,20.78666666666666,5.0
0,20,48,8589147,24.073333333333323,3.0
0,20,50,8592377,36.58999999999999,2.0
0,20,12,8592375,40.30666666666666,6.0
0,20,39,8589161,46.69333333333343,2.0
0,20,0,8589161,46.73000000000009,3.0
0,20,27,8588351,49.446666666666786,2.0
0,30,56,8589147,0.0,0.0
0,30,22,8589147,0.0,1.0
0,30,50,8592377,32.480000000000025,0.0
0,30,26,8592375,36.196666666666715,4.0
0,30,24,8589161,42.583333333333336,5.0
0,30,54,8589161,42.619999999998925,1.0
0,30,52,8588351,45.33666666666559,0.0
0,30,14,8504622,52.373333333332255,2.0
0,30,42,8589141,54.789999999999,0.0
0,30,5,8589141,54.82666666666566,3.0
0,30,2,8587356,57.86333333333232,4.0
0,30,33,8577820,65.17999999999898,1.0
0,30,30,8592378,70.91666666666667,0.0
1,0,37,8577820,0.0,0.0
1,0,14,8589161,4.15,1.0
1,0,32,8577820,8.286666666662889,0.0
1,0,4,8589138,15.723333333329556,1.0
1,0,5,8589152,16.67999999999622,3.0
1,0,22,8587356,19.08666666666287,2.0
1,0,23,8587255,25.69333333332954,0.0
1,0,8,8587255,25.729999999996195,2.0
1,0,26,8589158,33.36666666666667,0.0
1,10,49,8577820,0.0,0.0
1,10,18,8589138,7.4,1.0
1,10,19,8589152,8.356666666666868,3.0
1,10,42,8587356,10.763333333332518,2.0
1,10,20,8587255,17.369999999999187,4.0
1,10,43,8587255,17.40666666666585,2.0
1,10,5,8587356,24.063333333332515,6.0
1,10,44,8589158,27.679999999998813,4.0
1,10,29,8588344,39.166666666666664,0.0
1,10,3,8589147,50.02333333333215,1.0
1,10,27,8588351,58.73999999999873,0.0
1,20,55,8587255,0.0,0.0
1,20,22,8587255,0.0,2.0
1,20,49,8589158,17.779999999999973,0.0
1,20,25,8587356,21.04666666666651,4.0
1,20,52,8588344,31.963333333333253,0.0
1,20,24,8589147,42.91999999999979,1.0
1,20,7,8591767,43.586666666666076,3.0
1,20,34,8589152,45.82333333333264,1.0
1,20,51,8588351,55.9599999999993,0.0
1,30,57,8587356,21.0,0.0
1,30,23,8587356,21.0,4.0
1,30,51,8588344,31.88000000000102,0.0
1,30,25,8591767,42.31666666666667,2.0
1,30,27,8589147,43.003333333333956,3.0
1,30,53,8589152,45.53999999999982,1.0
1,30,55,8588351,56.45499999999993,0.0
