req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins,travel_time_mins,total_system_time
0,completed,8589154,8577786,0,0.0,20.426666666666677,0.0,1,0.0,20.426666666666677,20.426666666666677
1,completed,8588858,8592377,3,13.0,17.220000000000013,0.0,3,10.0,4.220000000000013,14.220000000000013
2,completed,8587255,8577820,1,5.65,6.319999999999936,1.0,3,4.65,0.669999999999936,5.319999999999936
3,completed,8589154,8587238,8,16.09333333333342,24.46333333333334,0.0,1,8.093333333333419,8.36999999999992,16.46333333333334
4,completed,8589138,8587356,6,6.0,8.736666666666663,4.0,2,0.0,2.736666666666663,2.736666666666663
5,completed,8591766,8587255,21,33.32333333333316,39.06333333333329,2.0,2,12.32333333333316,5.74000000000013,18.06333333333329
6,completed,8588344,8588858,28,28.0,38.319999999999936,1.0,1,0.0,10.319999999999936,10.319999999999936
7,completed,8589152,8587255,28,0.0,39.02666666666663,2.0,1,-28.0,39.02666666666663,11.026666666666628
8,completed,8588344,8589158,30,42.97666666666656,53.233333333333334,1.0,4,12.97666666666656,10.256666666666774,23.233333333333334
9,completed,8589158,8589147,26,31.569999999999993,32.43666666666649,2.0,2,5.569999999999993,0.8666666666664966,6.43666666666649
10,completed,8588858,8589141,29,31.0,45.39000000000069,1.0,1,2.0,14.39000000000069,16.39000000000069
11,completed,8592377,8592374,30,0.0,47.54333333333332,3.0,1,-30.0,47.54333333333332,17.543333333333322
12,completed,8589161,8592374,32,32.0,34.36666666666667,0.0,1,0.0,2.366666666666667,2.366666666666667
13,completed,8589158,8589138,35,7.880000000000152,41.46666666666667,2.0,1,-27.11999999999985,33.58666666666652,6.466666666666669
14,completed,8592377,8577820,33,33.0,42.636666666666656,3.0,2,0.0,9.636666666666656,9.636666666666656
15,completed,8589161,8589130,31,31.963333333333686,44.836666666666645,0.0,2,0.9633333333336864,12.873333333332958,13.836666666666645
16,completed,8591767,8577741,31,30.0,40.61999999999989,4.0,1,-1.0,10.61999999999989,9.61999999999989
17,completed,8589131,8577785,35,41.66999999999999,41.30666666666655,0.0,3,6.6699999999999875,-0.3633333333334363,6.306666666666551
18,completed,8589152,8592377,30,0.0,47.936666666666724,4.0,4,-30.0,47.936666666666724,17.936666666666724
19,completed,8587238,8589141,38,40.15,58.37333333333326,3.0,1,2.1499999999999986,18.223333333333258,20.373333333333257
20,completed,8577786,8577741,31,31.45,33.11999999999989,1.0,3,0.4499999999999993,1.6699999999998916,2.119999999999891
21,completed,8589147,8588351,40,37.64666666666662,57.406666666666666,2.0,1,-2.3533333333333815,19.760000000000048,17.406666666666666
22,completed,8589152,8592378,35,34.55999999999991,46.930000000000064,4.0,4,-0.4400000000000901,12.370000000000154,11.930000000000064
23,in_transit,8587356,8588344,41,3.3233333333333235,,1.0,1,-37.67666666666668,,
24,completed,8591766,8589155,43,0.14333333333345527,48.77999999999997,2.0,1,-42.85666666666654,48.636666666666514,5.779999999999973
25,completed,8589161,8588351,41,49.75999999999999,46.20666666666668,3.0,2,8.759999999999991,-3.5533333333333132,5.206666666666678
26,completed,8577785,8588858,41,41.27000000000001,48.693333333333115,0.0,2,0.27000000000001023,7.423333333333105,7.693333333333115
27,completed,8577741,8592377,47,40.656666666666545,58.053333333333335,4.0,2,-6.3433333333334545,17.39666666666679,11.053333333333335
28,completed,8589154,8592375,45,49.65,59.88666666666659,0.0,1,4.649999999999999,10.236666666666594,14.886666666666592
29,completed,8504622,8589131,45,55.963333333333395,57.76999999999998,3.0,5,10.963333333333395,1.8066666666665867,12.769999999999982
30,waiting,8588344,8589155,54,,,,1,,,
31,in_transit,8589158,8589155,60,48.32333333333332,,1.0,2,-11.676666666666677,,
32,waiting,8591767,8589152,60,,,,1,,,
33,completed,8504622,8589147,53,58.14666666666689,59.13333333333333,1.0,2,5.1466666666668885,0.9866666666664443,6.133333333333333
34,completed,8504622,8589141,56,56.0,58.336666666666595,3.0,2,0.0,2.336666666666595,2.336666666666595
35,in_transit,8592377,8589154,58,14.55,,4.0,3,-43.45,,
36,completed,8588858,8589155,55,63.983333333333334,65.25,2.0,1,8.983333333333334,1.2666666666666657,10.25
37,completed,8592375,8589161,50,57.06666666666667,69.05333333333306,2.0,1,7.06666666666667,11.986666666666387,19.053333333333057
38,completed,8588858,8592375,50,50.61666666666667,59.85,0.0,2,0.6166666666666671,9.233333333333334,9.850000000000001
39,in_transit,8592374,8589130,66,66.76666666666667,,2.0,2,0.7666666666666657,,
40,in_transit,8592377,8591767,63,18.0,,0.0,3,-45.0,,
41,in_transit,8587356,8592378,65,68.5866666666666,,3.0,1,3.586666666666602,,
42,waiting,8588344,8589154,67,,,,2,,,
43,waiting,8577741,8592378,70,,,,1,,,
44,waiting,8589141,8577820,64,,,,2,,,
45,in_transit,8577820,8588858,68,68.0,,4.0,1,0.0,,
46,waiting,8589147,8592377,79,,,,4,,,
47,waiting,8589138,8592378,79,,,,2,,,
48,waiting,8577741,8589131,73,,,,1,,,
49,waiting,8577820,8589271,77,,,,4,,,
50,waiting,8591767,8589161,70,,,,5,,,
51,waiting,8577785,8577786,72,,,,2,,,
52,waiting,8589154,8504622,80,,,,1,,,
53,waiting,8589138,8589152,81,,,,1,,,
54,waiting,8577741,8589152,87,,,,2,,,
