time_step,new_reqs_presented,reqs_rejected,reqs_abandonned,obj_cost,in_transit_carried_over,solve_time_seconds,mip_gap,node_count,solve_status
0,18,0,0,191.45539999999892,15,180.01362204551697,0.9778700417956402,3353.0,9
10,2,0,0,175.95529999999872,9,8.699339151382446,0.29885018591452756,33791.0,2
20,3,0,0,73.96029999999973,8,2.871443033218384,0.2997171824245253,5033.0,2
30,4,0,0,117.1986000000029,8,143.42736911773682,0.2983680275700942,504830.0,2
40,1,0,0,66.77440000000024,7,0.6042070388793945,0.2956495882561455,1360.0,2
50,5,0,0,83.97099999999955,7,23.485015153884888,0.2997513004046737,55759.0,2
60,2,0,0,69.1124000000002,8,0.38071107864379883,0.2981417359126697,1.0,2
