bus_id,interval,logical_node,location,arrival_time,passenger_load
0,0,36,8587238,0.0,0.0
0,0,11,8589161,6.079999999999025,1.0
0,0,29,8592374,8.466666666666667,0.0
0,0,6,8587255,12.07333333333247,1.0
0,0,2,8587255,12.110000000000127,4.0
0,0,20,8577820,17.466666666666665,1.0
0,0,24,8588858,23.823333333332457,0.0
0,0,3,8589154,24.789999999999083,3.0
0,0,9,8588858,25.726666666665714,5.0
0,0,21,8587238,34.643333333332365,2.0
0,0,27,8589147,44.00999999999905,0.0
0,10,48,8592374,2.213333333329956,0.0
0,10,21,8587255,5.783333333333333,1.0
0,10,45,8588858,15.986666666666679,0.0
0,10,20,8589154,16.95333333333332,3.0
0,10,19,8587255,23.61999999999987,6.0
0,10,43,8577820,28.97666666666612,3.0
0,10,44,8587238,31.483333333333334,0.0
0,10,22,8588858,39.76999999999935,2.0
0,10,46,8589147,52.17666666666575,0.0
0,20,54,8589154,8.0,0.0
0,20,20,8589154,8.0,3.0
0,20,25,8587255,15.070000000000345,6.0
0,20,52,8577820,20.456666666667054,3.0
0,20,47,8587238,22.99333333333351,0.0
0,20,26,8588858,31.3,2.0
0,20,7,8591767,43.25,4.0
0,20,53,8589147,43.93666666666677,2.0
0,20,9,8504622,44.82333333333344,4.0
0,20,34,8589152,46.45333333333335,2.0
0,20,36,8589141,47.24000000000001,0.0
0,20,4,8504622,49.79666666666668,2.0
0,20,31,8589131,60.06333333333333,0.0
0,30,58,8587238,0.0,0.0
0,30,28,8588858,19.0,2.0
0,30,57,8589147,31.63666666666677,0.0
0,30,25,8591767,32.30333333333344,2.0
0,30,26,8504622,40.6066666666666,4.0
0,30,54,8589152,42.23666666666668,2.0
0,30,55,8589141,43.02333333333334,0.0
0,30,12,8504622,45.579999999999934,2.0
0,30,24,8504622,45.61666666666667,4.0
0,30,41,8589147,47.01166666666655,2.0
0,30,53,8589131,61.426666666666534,0.0
0,40,70,8591767,10.0,2.0
0,40,25,8591767,10.0,4.0
0,40,33,8504622,40.580000000000254,6.0
0,40,60,8589152,42.15,4.0
0,40,68,8589141,42.916666666666664,2.0
0,40,32,8504622,45.233333333333334,4.0
0,40,30,8504622,45.27000000000025,6.0
0,40,65,8589147,46.256666666666604,4.0
0,40,67,8589131,56.94333333333327,2.0
0,40,1,8589138,72.0,3.0
0,40,36,8592378,84.56666666666666,2.0
0,50,66,8589147,5.0,0.0
0,50,26,8589147,5.0,2.0
0,50,59,8589131,45.65,0.0
0,50,20,8592377,51.33666666666639,2.0
0,50,53,8591767,62.85333333333307,0.0
0,50,16,8589138,64.06999999999977,2.0
0,50,49,8589152,65.00666666666649,0.0
0,50,31,8589138,66.01333333333312,1.0
0,50,6,8587238,75.92999999999978,6.0
0,50,39,8592378,83.51666666666667,1.0
0,50,64,8592378,83.55333333333311,0.0
0,50,4,8577786,86.88999999999979,1.0
0,50,37,8588351,92.89666666666645,0.0
0,60,76,8592377,13.0,0.0
0,60,29,8592377,13.0,2.0
