time_step,new_reqs_presented,reqs_rejected,reqs_abandonned,obj_cost,in_transit_carried_over,solve_time_seconds,mip_gap,node_count,solve_status
0,18,10,0,2376.665296899848,8,180.01000905036926,0.9922212864157811,4286.0,9
10,17,13,0,3129.0521999999023,9,181.25627398490906,0.992567174174979,2607.0,9
20,18,10,9,2606.165199999922,12,180.17469596862793,0.9905456805069848,2665.0,9
30,16,14,1,5730.811199999767,11,180.6978840827942,0.9949725540023874,3591.0,9
40,21,20,3,9864.912799999993,10,180.01649713516235,0.9973288385666508,63.0,9
50,27,26,5,12801.050199998968,10,180.0931360721588,0.9980210598548322,95.0,9
