bus_id,simulation_time,stop_sequence,logical_node,physical_location,arrival_time
25,20,4,38,8577786,20
25,30,0,73,8577786,30
25,40,0,69,8577786,40
25,50,0,69,8577786,50
26,0,0,50,8591767,0
26,10,0,68,8591767,10
26,20,0,68,8591767,20
26,30,0,74,8591767,30
26,40,0,70,8591767,40
26,50,0,70,8591767,50
27,0,0,51,8592378,0
27,10,0,69,8592378,10
27,20,0,69,8592378,20
27,30,0,75,8592378,30
27,40,0,71,8592378,40
27,50,0,71,8592378,50
28,0,0,52,8591766,0
28,10,0,70,8591766,10
28,20,0,70,8591766,20
28,30,0,76,8591766,30
28,40,0,72,8591766,40
28,50,0,72,8591766,50
29,0,0,53,8589155,0
29,10,0,71,8589155,10
29,20,0,71,8589155,20
29,30,0,77,8589155,30
29,30,1,7,8589130,30
29,30,2,31,8589161,30
29,40,0,73,8589155,40
29,40,1,9,8589130,40
29,40,2,31,8589161,40
29,50,0,73,8589161,50
