Experiment_Name,Total_Requests,Service_Rate_%,Abandoned_Pax,Avg_Wait_Mins,Total_Solver_Rejections,Avg_Solve_Time_Secs,Final_Obj_Cost,Param_Wait_Max,Param_Cap_1,Param_Rejection_Cost,Param_init_reqs_num_poisson_lambda,Param_reqs_num_poisson_lambda,Param_reqs_pax_size_poisson_lambda,Param_poisson_clip_lb,Param_poisson_clip_ub,Param_n1,Param_n2,Param_n3,Param_cap1,Param_cap2,Param_cap3,Param_cost1,Param_cost2,Param_cost3,Param_t_start,Param_t_end,Param_interval,Param_w_max,Param_a_max,Param_pax_max_wait,Param_board_alight_time,Param_max_late,Param_c_0,Param_M,Param_M_cap,Param_M_time_window,Param_max_opt_time_seconds,Param_start_node_limit,Param_seed,Param_mip_focus_feasibility,Param_presolve_aggressive,Param_mip_gap,Param_heuristics,Param_symmetry,Param_method,Param_b_1,Param_b_2,Param_b_3
Run_20260504_204956_n1_1_n2_1_n3_0_max_opt_time_seconds_420_start_node_limit_1000_mip_focus_feasibiility_1_presolve_aggressive_2_mip_gap_0.05_heuristics_0.2_symmetry_2_method_3,80,25.0,23,6.7,91,420.03,5419.41,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.0366666666666666,60.0,216.2,4000.0,12.0,1600.0,420.0,1000.0,42.0,1.0,2.0,0.05,0.2,2.0,3.0,1.0,1.0,14.1
Run_20260504_214602_n1_1_n2_1_n3_0_max_opt_time_seconds_480_start_node_limit_1000_mip_focus_feasibiility_1_presolve_aggressive_2_mip_gap_0.05_heuristics_0.2_symmetry_2_method_3,86,27.91,23,7.08,113,480.04,6424.79,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.0366666666666666,60.0,216.2,4000.0,12.0,1600.0,480.0,1000.0,42.0,1.0,2.0,0.05,0.2,2.0,3.0,1.0,1.0,14.1
Run_20260504_221240_n1_1_n2_1_n3_0_max_opt_time_seconds_180_start_node_limit_1000_mip_focus_feasibiility_1_presolve_aggressive_2_mip_gap_0.1_heuristics_0.2_symmetry_2_method_3,86,25.58,24,5.19,120,180.03,6605.01,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.0366666666666666,60.0,216.2,4000.0,12.0,1600.0,180.0,1000.0,42.0,1.0,2.0,0.1,0.2,2.0,3.0,1.0,1.0,14.1
Run_20260504_223345_n1_1_n2_1_n3_0_max_opt_time_seconds_180_start_node_limit_1000_mip_focus_feasibiility_1_presolve_aggressive_2_mip_gap_0.15_heuristics_0.2_symmetry_2_method_3,86,25.58,24,5.19,120,180.04,6605.01,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.0366666666666666,60.0,216.2,4000.0,12.0,1600.0,180.0,1000.0,42.0,1.0,2.0,0.15,0.2,2.0,3.0,1.0,1.0,14.1
Run_20260504_225451_n1_1_n2_1_n3_0_max_opt_time_seconds_180_start_node_limit_1000_mip_focus_feasibiility_1_presolve_aggressive_2_mip_gap_0.2_heuristics_0.2_symmetry_2_method_3,86,27.91,24,2.66,118,180.04,5332.24,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.0366666666666666,60.0,216.2,4000.0,12.0,1600.0,180.0,1000.0,42.0,1.0,2.0,0.2,0.2,2.0,3.0,1.0,1.0,14.1
Run_20260504_231556_n1_1_n2_1_n3_0_max_opt_time_seconds_180_start_node_limit_1000_mip_focus_feasibiility_1_presolve_aggressive_2_mip_gap_0.25_heuristics_0.2_symmetry_2_method_3,86,29.07,24,2.99,115,180.03,5408.69,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.0366666666666666,60.0,216.2,4000.0,12.0,1600.0,180.0,1000.0,42.0,1.0,2.0,0.25,0.2,2.0,3.0,1.0,1.0,14.1
Run_20260504_233700_n1_1_n2_1_n3_0_max_opt_time_seconds_180_start_node_limit_1000_mip_focus_feasibiility_1_presolve_aggressive_2_mip_gap_0.3_heuristics_0.2_symmetry_2_method_3,86,25.58,24,5.19,120,180.03,6605.01,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.0366666666666666,60.0,216.2,4000.0,12.0,1600.0,180.0,1000.0,42.0,1.0,2.0,0.3,0.2,2.0,3.0,1.0,1.0,14.1
Run_20260505_000315_n1_1_n2_1_n3_0_max_opt_time_seconds_180_start_node_limit_500_mip_focus_feasibiility_1_presolve_aggressive_2_mip_gap_0.25_heuristics_0.2_symmetry_2_method_3,86,25.58,24,5.19,120,180.08,6605.01,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.0366666666666666,60.0,216.2,4000.0,12.0,1600.0,180.0,500.0,42.0,1.0,2.0,0.25,0.2,2.0,3.0,1.0,1.0,14.1
Run_20260505_002420_n1_1_n2_1_n3_0_max_opt_time_seconds_180_start_node_limit_1000_mip_focus_feasibiility_1_presolve_aggressive_2_mip_gap_0.25_heuristics_0.2_symmetry_2_method_3,86,25.58,24,5.19,120,180.04,6605.01,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.0366666666666666,60.0,216.2,4000.0,12.0,1600.0,180.0,1000.0,42.0,1.0,2.0,0.25,0.2,2.0,3.0,1.0,1.0,14.1
Run_20260505_004524_n1_1_n2_1_n3_0_max_opt_time_seconds_180_start_node_limit_1500_mip_focus_feasibiility_1_presolve_aggressive_2_mip_gap_0.25_heuristics_0.2_symmetry_2_method_3,86,25.58,24,5.19,120,180.05,6605.01,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.0366666666666666,60.0,216.2,4000.0,12.0,1600.0,180.0,1500.0,42.0,1.0,2.0,0.25,0.2,2.0,3.0,1.0,1.0,14.1
Run_20260505_010629_n1_1_n2_1_n3_0_max_opt_time_seconds_180_start_node_limit_2000_mip_focus_feasibiility_1_presolve_aggressive_2_mip_gap_0.25_heuristics_0.2_symmetry_2_method_3,86,25.58,24,3.75,117,180.11,5559.94,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.0366666666666666,60.0,216.2,4000.0,12.0,1600.0,180.0,2000.0,42.0,1.0,2.0,0.25,0.2,2.0,3.0,1.0,1.0,14.1
Run_20260505_012734_n1_1_n2_1_n3_0_max_opt_time_seconds_180_start_node_limit_2500_mip_focus_feasibiility_1_presolve_aggressive_2_mip_gap_0.25_heuristics_0.2_symmetry_2_method_3,86,27.91,24,4.09,118,180.09,5817.71,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.0366666666666666,60.0,216.2,4000.0,12.0,1600.0,180.0,2500.0,42.0,1.0,2.0,0.25,0.2,2.0,3.0,1.0,1.0,14.1
Run_20260505_013937_n1_1_n2_1_n3_0_max_opt_time_seconds_180_start_node_limit_1000_mip_focus_feasibiility_0_presolve_aggressive_2_mip_gap_0.25_heuristics_0.2_symmetry_2_method_3,46,15.22,8,4.3,34,180.17,3188.88,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.0366666666666666,60.0,216.2,4000.0,12.0,1600.0,180.0,1000.0,42.0,0.0,2.0,0.25,0.2,2.0,3.0,1.0,1.0,14.1
Run_20260505_020042_n1_1_n2_1_n3_0_max_opt_time_seconds_180_start_node_limit_1000_mip_focus_feasibiility_1_presolve_aggressive_2_mip_gap_0.25_heuristics_0.2_symmetry_2_method_3,86,25.58,24,5.19,120,180.24,6605.01,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.0366666666666666,60.0,216.2,4000.0,12.0,1600.0,180.0,1000.0,42.0,1.0,2.0,0.25,0.2,2.0,3.0,1.0,1.0,14.1
Run_20260505_022150_n1_1_n2_1_n3_0_max_opt_time_seconds_180_start_node_limit_1000_mip_focus_feasibiility_2_presolve_aggressive_2_mip_gap_0.25_heuristics_0.2_symmetry_2_method_3,80,17.5,22,2.74,93,180.37,12801.05,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.0366666666666666,60.0,216.2,4000.0,12.0,1600.0,180.0,1000.0,42.0,2.0,2.0,0.25,0.2,2.0,3.0,1.0,1.0,14.1
Run_20260505_024258_n1_1_n2_1_n3_0_max_opt_time_seconds_180_start_node_limit_1000_mip_focus_feasibiility_3_presolve_aggressive_2_mip_gap_0.25_heuristics_0.2_symmetry_2_method_3,86,29.07,21,0.56,122,180.58,6179.97,,,,15.0,10.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,8.0,12.0,0.87,0.94,0.94,0.0,60.0,10.0,30.0,1.5,13.0,0.03666666666666667,60.0,216.2,4000.0,12.0,1600.0,180.0,1000.0,42.0,3.0,2.0,0.25,0.2,2.0,3.0,1.0,1.0,14.1
