time_step,new_reqs_presented,reqs_rejected,reqs_abandonned,obj_cost,in_transit_carried_over,solve_time_seconds,mip_gap,node_count,solve_status
0,18,8,0,2107.589599999803,10,300.0247848033905,0.9927175855962821,35603.0,9
10,15,12,0,4472.027391263307,9,300.0232501029968,0.994543178577186,14590.0,9
20,20,14,6,4332.270999999952,11,300.027428150177,0.9954500060547634,6796.0,9
30,20,20,1,5881.563000000006,6,300.03077483177185,0.995654760052778,2776.0,9
40,26,22,4,5442.475199999934,6,300.072811126709,0.9970972581797826,2174.0,9
50,26,22,8,5308.924199999965,7,300.05239605903625,0.9959890069504597,3330.0,9
60,30,27,4,6303.507199999469,8,300.06742119789124,0.9985839524912947,2872.0,9
