time_step,new_reqs_presented,reqs_rejected,reqs_abandonned,obj_cost,in_transit_carried_over,solve_time_seconds,mip_gap,node_count,solve_status
0,5,0,0,32.52690000000001,4,5.50183892250061,0.19463476840381172,22663.0,2
10,6,0,0,58.93379777838925,9,180.00637483596802,0.3025830580459944,565573.0,9
20,12,0,0,244.00669999999786,18,180.01202201843262,0.8705217227973924,94762.0,9
30,7,0,0,406.3185999999987,21,180.0127031803131,0.8505116810788959,322464.0,9
40,9,2,0,593.1500999999989,22,180.01479506492615,0.7496185088609579,107191.0,9
50,9,0,0,186.50469999999723,22,180.0167760848999,0.6905054505705762,132746.0,9
60,7,1,0,629.9242999999965,17,180.01742386817932,0.879974343602991,159793.0,9
