time_step,new_reqs_presented,reqs_rejected,reqs_abandonned,obj_cost,in_transit_carried_over,solve_time_seconds,mip_gap,node_count,solve_status
0,18,9,0,2244.987793260114,9,180.01890683174133,0.9932368564497202,13121.0,9
10,16,13,0,4546.976065197097,8,180.02891397476196,0.9959155784141638,10825.0,9
20,20,14,7,3915.6022999998922,9,180.03442692756653,0.9958529850464326,1552.0,9
30,20,16,1,4631.360200000005,10,180.01540899276733,0.9947898791341785,2826.0,9
40,23,21,3,6088.196399999944,8,180.03367805480957,0.9974932940786692,835.0,9
50,25,22,8,5269.526899999926,8,181.4693489074707,0.9961473379612131,2849.0,9
60,29,25,5,6605.011200000014,9,180.0484311580658,0.9988211286855516,222.0,9
