bus_id,decision_interval,step_sequence,logical_node,location,arrival_time,passenger_load
0,0,0,10,8577820,0.0,0
0,0,1,1,8588858,6.32,3
0,0,2,0,8589154,7.96,4
0,0,3,3,8589154,8.0,5
0,0,4,6,8592377,17.19,2
0,0,5,5,8577786,20.34,1
0,0,6,8,8587238,24.36,0
0,10,0,20,8589154,0.0,0
0,10,1,6,8589154,0.0,1
0,10,2,7,8589154,4.91,4
0,10,3,8,8589154,4.91,5
0,10,4,17,8592377,17.15,2
0,10,5,16,8577786,20.31,1
0,10,6,18,8587238,24.32,0
0,20,0,40,8592377,0.0,0
0,20,1,12,8592377,0.0,1
0,20,2,13,8592377,13.0,2
0,20,3,32,8577786,19.34,1
0,20,4,33,8587238,27.43,0
0,20,5,1,8589161,33.69,1
0,20,6,21,8592374,36.06,0
0,20,7,3,8592377,43.94,2
0,20,8,8,8587238,51.0,3
0,20,9,23,8577820,57.82,1
0,20,10,28,8589141,67.08,0
0,30,0,50,8587238,25.78,0
0,30,1,12,8589161,32.0,1
0,30,2,37,8592374,34.37,0
0,30,3,14,8592377,42.25,2
0,30,4,17,8587238,49.31,3
0,30,5,39,8577820,51.82,1
0,30,6,6,8504622,58.85,6
0,30,7,42,8589141,61.27,5
0,30,8,31,8589131,73.93,0
1,0,0,11,8591766,0.0,0
1,0,1,2,8587255,5.65,3
1,0,2,7,8577820,11.01,0
1,10,0,21,8587255,0.0,0
1,10,1,9,8587255,0.0,3
1,10,2,19,8577820,6.32,0
1,10,3,1,8588344,12.94,1
1,10,4,3,8588344,30.0,5
1,10,5,5,8588858,39.02,6
1,10,6,11,8588858,39.05,5
1,10,7,13,8589158,52.36,1
1,10,8,15,8589141,56.27,0
1,20,0,41,8588344,0.0,0
1,20,1,14,8588344,0.0,1
1,20,2,34,8588858,38.32,0
1,20,3,19,8588858,38.36,1
1,20,4,17,8588344,46.82,5
1,20,5,37,8589158,58.58,1
1,20,6,39,8589141,66.63,0
1,30,0,51,8588344,0.0,1
1,30,1,7,8588344,0.0,2
1,30,2,32,8588858,38.32,1
1,30,3,24,8588858,38.36,2
1,30,4,22,8588344,46.82,6
1,30,5,47,8589158,62.75,2
1,30,6,49,8589141,66.63,1
2,0,0,12,8589271,1511.57,0
2,10,0,22,8589271,0.0,0
2,10,1,2,8589152,2.67,1
2,10,2,4,8589158,31.54,3
2,10,3,14,8589147,32.4,1
2,10,4,0,8591766,33.26,3
2,10,5,12,8587255,38.95,2
2,10,6,10,8587255,38.98,0
2,20,0,42,8589152,0.0,0
2,20,1,15,8589152,0.0,1
2,20,2,18,8589158,31.57,3
2,20,3,38,8589147,32.44,1
2,20,4,16,8591766,33.32,3
2,20,5,35,8587255,38.99,2
2,20,6,36,8587255,39.03,0
2,20,7,4,8589161,41.18,2
2,20,8,24,8589130,52.62,0
2,30,0,52,8589152,0.0,0
2,30,1,8,8589152,0.0,1
2,30,2,23,8589158,31.57,3
2,30,3,48,8589147,32.44,1
2,30,4,21,8591766,33.32,3
2,30,5,46,8587255,38.99,1
2,30,6,33,8587255,39.03,0
2,30,7,15,8589161,44.0,2
2,30,8,2,8589161,44.04,4
2,30,9,27,8588351,46.75,2
2,30,10,1,8591766,53.52,3
2,30,11,40,8589130,65.24,1
2,30,12,26,8589155,76.8,0
3,0,0,13,8592377,1446.16,0
3,10,0,23,8592377,0.0,0
3,20,0,43,8592377,0.0,0
3,20,1,6,8589131,5.32,3
3,20,2,26,8577785,40.24,0
3,20,3,0,8592377,41.72,1
3,20,4,9,8577786,44.93,4
3,20,5,29,8577741,52.97,1
3,20,6,20,8592374,57.4,0
3,30,0,53,8589131,36.78,0
3,30,1,9,8589131,36.78,3
3,30,2,18,8577786,40.18,6
3,30,3,11,8592377,43.0,7
3,30,4,34,8577785,44.99,4
3,30,5,3,8577785,45.02,6
3,30,6,4,8577741,55.19,8
3,30,7,43,8577741,55.23,5
3,30,8,5,8589154,56.72,6
3,30,9,28,8588858,57.63,4
3,30,10,36,8592374,60.14,3
3,30,11,30,8592375,66.7,2
3,30,12,29,8592377,69.46,0
4,0,0,14,8589138,0.0,0
4,0,1,4,8589138,0.0,2
4,0,2,9,8587356,8.74,0
4,10,0,24,8587356,0.0,0
4,20,0,44,8587356,0.0,0
4,20,1,7,8589152,3.5,4
4,20,2,11,8589152,30.04,8
4,20,3,5,8591767,37.22,9
4,20,4,2,8589158,38.8,10
4,20,5,10,8589147,39.67,11
4,20,6,22,8589138,41.44,10
4,20,7,30,8588351,50.5,9
4,20,8,31,8592378,55.12,5
4,20,9,27,8592377,56.13,1
4,20,10,25,8577741,65.81,0
4,30,0,54,8589152,0.0,1
4,30,1,10,8589152,0.0,5
4,30,2,20,8589152,35.25,9
4,30,3,16,8591767,37.46,10
4,30,4,13,8589158,39.03,11
4,30,5,19,8589147,40.0,12
4,30,6,38,8589138,41.44,11
4,30,7,44,8588351,50.5,10
4,30,8,45,8592378,55.12,6
4,30,9,35,8592377,56.35,2
4,30,10,41,8577741,66.04,1
