time_step,new_reqs_presented,reqs_rejected,reqs_abandonned,obj_cost,in_transit_carried_over,solve_time_seconds,mip_gap,node_count,solve_status
0,4,1,0,63.90118144933211,3,35.438095808029175,0.0,7790.0,2
10,4,1,0,68.14109613352144,6,35.46310305595398,0.0,9478.0,2
20,1,0,1,419.66027271761027,4,30.28975009918213,0.045825298206879236,1.0,2
30,3,0,0,47.4342866600542,5,31.520468950271606,0.020792273469240456,371.0,2
40,3,2,0,859.2539999398319,5,90.19413304328918,0.0,166421.0,2
50,4,3,0,682.7223023549604,5,480.00769114494324,0.8420946272294021,1100120.0,9
60,6,5,0,1163.0219450267737,3,480.0147180557251,0.5432480664414449,755995.0,9
70,6,4,2,856.8226430051016,4,480.0112478733063,0.7317409459087222,979434.0,9
80,5,4,1,692.5367450261798,4,480.0154318809509,0.8654759744081303,971810.0,9
90,6,4,2,1387.1919320396346,5,35.96065092086792,0.04994643475357694,2342.0,2
100,9,9,0,1569.3768827600695,4,480.0097668170929,0.236895695386823,432225.0,9
110,12,9,2,762.3329702127539,5,480.014123916626,0.5439543761883753,345521.0,9
120,11,9,2,864.878686072824,6,480.0134959220886,0.48521803429847876,464020.0,9
130,8,8,3,922.423125083346,5,480.0399549007416,0.9329389773379231,713426.0,9
140,8,6,3,1361.0147017798574,4,480.01043796539307,0.42718168256630845,497586.0,9
150,6,4,3,591.6481189457875,6,106.21679615974426,0.049742843468376145,120170.0,2
160,3,3,1,1046.030068945788,3,92.70200181007385,0.04968117110522024,129770.0,2
170,4,3,1,367.96534428562063,3,37.729429960250854,0.0,10518.0,2
180,4,2,2,316.01648036428196,4,37.62715697288513,5.015810356176559e-11,5846.0,2
190,8,4,0,813.493,7,480.01135301589966,0.09646480497080426,418586.0,9
200,6,4,1,806.9441623384498,8,480.01088881492615,0.9194574887561618,639578.0,9
210,9,6,1,354.92185922677754,7,480.01387095451355,0.33268630616984557,264338.0,9
220,8,6,2,638.1440742942668,8,480.0160300731659,0.24322463286898155,450381.0,9
230,6,5,1,907.6562754323547,6,480.0263931751251,0.6217517005559899,602581.0,9
240,4,3,2,809.1001640883211,5,57.34383010864258,0.04397235826080819,45525.0,2
250,5,1,3,874.8324675550656,6,35.1293261051178,0.04998180639344861,2829.0,2
260,3,2,0,216.19387908681773,6,39.488242864608765,4.074831465552958e-11,14008.0,2
270,7,3,0,117.04188575014106,9,480.00904607772827,0.517283798224955,530666.0,9
280,3,3,1,771.5303157007401,8,480.0116000175476,0.6538241061104577,830942.0,9
290,3,3,1,2213.5238900618815,6,480.0073959827423,0.2797315993453343,960968.0,9
300,5,4,0,2965.0357622070796,6,480.01641297340393,0.47982236265561573,910658.0,9
310,8,5,1,4527.621391375924,9,480.01202297210693,0.43916224961270506,530564.0,9
320,5,5,2,5828.549115704052,7,480.01080203056335,0.5550702604929078,720598.0,9
330,8,5,1,4501.403653231915,7,480.0127229690552,0.6065471060795747,668667.0,9
340,6,4,1,3606.642743259353,5,480.0114440917969,0.050978519329450384,576745.0,9
350,5,1,3,450.61488946170755,7,37.79697608947754,0.04968285565262401,7021.0,2
360,3,0,1,144.73105000000623,8,159.45466303825378,0.04313572717046406,271661.0,2
