bus_id,decision_interval,step_sequence,logical_node,location,arrival_time,passenger_load
0,0,0,36,8589152,0.0,0
0,0,1,4,8589138,6.0,1
0,0,2,22,8587356,8.74,0
0,0,3,8,8587255,15.34,2
0,0,4,26,8589158,22.98,0
0,10,0,34,8587356,0.0,0
0,10,1,14,8587255,6.57,2
0,10,2,31,8589158,17.64,0
0,20,0,24,8589158,0.0,0
0,30,0,24,8589158,0.0,0
0,30,1,1,8591766,13.0,1
0,30,2,2,8589161,50.49,5
0,30,3,14,8588351,53.2,1
0,30,4,13,8589155,58.49,0
0,40,0,18,8591766,0.0,0
0,40,1,1,8591766,13.0,1
0,40,2,6,8589161,50.58,5
0,40,3,15,8588351,53.32,1
0,40,4,10,8589155,58.75,0
0,50,0,24,8591766,0.0,0
0,50,1,5,8591766,13.0,1
0,50,2,11,8589161,50.58,5
0,50,3,23,8588351,53.32,1
0,50,4,17,8589155,58.75,0
0,60,0,18,8589155,0.0,0
1,0,0,37,8592374,4.43,0
1,0,1,6,8587255,8.0,1
1,0,2,1,8588858,15.99,2
1,0,3,24,8588858,16.02,1
1,0,4,0,8589154,16.99,2
1,0,5,3,8589154,19.08,5
1,0,6,18,8577786,26.82,4
1,0,7,19,8592377,30.86,3
1,0,8,21,8587238,37.75,0
1,10,0,35,8587255,0.0,0
1,10,1,2,8587255,0.0,1
1,10,2,11,8588858,15.95,2
1,10,3,10,8589154,16.92,3
1,10,4,12,8589154,16.95,6
1,10,5,19,8588858,17.89,5
1,10,6,27,8577786,24.65,4
1,10,7,28,8592377,27.47,3
1,10,8,29,8587238,34.36,0
1,20,0,25,8588858,0.0,1
1,20,1,3,8588858,0.0,2
1,20,2,4,8588858,13.0,3
1,20,3,5,8588858,13.0,6
1,20,4,16,8592377,22.09,5
1,20,5,15,8577786,25.3,4
1,20,6,17,8587238,29.34,1
1,30,0,25,8587238,0.0,0
1,40,0,19,8587238,0.0,0
1,50,0,25,8587238,0.0,0
1,60,0,19,8587238,0.0,0
2,0,0,38,8588344,0.0,0
2,0,1,9,8588858,8.98,2
2,0,2,13,8588858,9.02,4
