time_step,new_reqs_presented,reqs_rejected,reqs_abandonned,obj_cost,in_transit_carried_over,solve_time_seconds,mip_gap,node_count,solve_status
0,18,4,0,1342.6872999996726,14,45.01846790313721,0.9980207603065887,321.0,9
10,6,0,0,337.58279999999695,11,45.01459312438965,0.787833202576546,37718.0,9
20,3,0,0,101.70459999999912,8,3.5719358921051025,0.0,7184.0,2
30,4,0,0,169.97339999999986,8,13.822405099868774,0.04938481781499047,44859.0,2
40,1,0,0,61.05720000000042,7,0.3731560707092285,0.0,148.0,2
50,5,0,0,75.46139999999968,7,36.41680407524109,0.023444357790772058,130367.0,2
60,2,0,0,56.78950000000032,8,1.307729959487915,0.049477566275456596,9571.0,2
