bus_id,decision_interval,step_sequence,logical_node,location,arrival_time,passenger_load
0,0,0,36,8588858,0.0,0
0,0,1,0,8589154,0.93,1
0,0,2,15,8589155,3.37,4
0,0,3,18,8577786,10.17,3
0,0,4,33,8589130,14.38,0
0,0,5,3,8589154,25.82,3
0,0,6,21,8587238,35.58,0
0,10,0,48,8589155,1.0,1
0,10,1,7,8589155,1.0,2
0,10,2,8,8589155,1.0,5
0,10,3,31,8577786,7.77,4
0,10,4,32,8589130,11.98,1
0,10,5,16,8589154,23.41,4
0,10,6,1,8587238,33.18,6
0,10,7,40,8587238,35.6,3
0,10,8,25,8589141,49.54,1
1,0,0,37,8589141,0.0,0
1,0,1,5,8589152,0.7,2
1,0,2,6,8587255,8.74,3
1,0,3,23,8587255,8.77,1
1,0,4,1,8588858,16.76,2
1,0,5,24,8588858,19.68,1
1,0,6,19,8592377,27.14,0
1,10,0,49,8587255,8.0,4
1,10,1,9,8587255,8.0,5
1,10,2,15,8588858,15.95,6
1,10,3,33,8588858,15.99,5
1,10,4,39,8592377,23.45,4
2,0,0,38,8592378,0.0,0
2,0,1,9,8588858,7.22,2
2,0,2,13,8588858,12.69,4
2,0,3,8,8587255,22.96,6
2,0,4,31,8589138,29.68,4
2,0,5,27,8589147,31.25,2
2,0,6,26,8589158,34.4,0
2,10,0,50,8588858,0.0,0
2,10,1,10,8588858,0.0,2
2,10,2,21,8588858,11.48,4
2,10,3,18,8587255,21.5,6
2,10,4,42,8589158,29.13,4
2,10,5,3,8589147,30.0,5
2,10,6,34,8589147,30.04,3
2,10,7,45,8589138,31.45,1
2,10,8,4,8589152,32.41,4
2,10,9,0,8589152,32.45,5
2,10,10,27,8588351,42.33,4
2,10,11,28,8592378,47.0,1
2,10,12,24,8592377,48.01,0
3,0,0,39,8587255,0.0,0
3,0,1,7,8577741,9.28,1
3,0,2,12,8589155,12.52,5
3,0,3,30,8592374,13.85,1
3,0,4,25,8587255,17.46,0
3,0,5,10,8587255,22.0,1
3,0,6,28,8589141,30.34,0
3,10,0,51,8577741,0.0,0
3,10,1,11,8577741,0.0,1
3,10,2,20,8589155,15.0,5
3,10,3,44,8592374,16.34,1
3,10,4,35,8587255,21.96,0
3,10,5,19,8587255,22.0,1
3,10,6,43,8589141,30.34,0
3,10,7,5,8587356,33.37,4
3,10,8,29,8588344,44.28,0
4,0,0,40,8589152,0.0,0
4,0,1,11,8589161,9.6,1
4,0,2,29,8592374,11.99,0
4,0,3,14,8589161,14.22,1
4,0,4,32,8577820,18.36,0
4,10,0,52,8589161,9.25,3
4,10,1,12,8589161,9.25,4
4,10,2,36,8592374,11.6,3
4,10,3,22,8589161,13.84,4
4,10,4,46,8577820,17.98,3
4,10,5,6,8591766,24.49,4
4,10,6,2,8577786,34.0,6
4,10,7,30,8589155,42.58,5
4,10,8,26,8577741,45.7,3
5,0,0,41,8587255,0.0,0
5,0,1,16,8589138,6.68,2
5,0,2,4,8589138,12.39,3
5,0,3,22,8587356,15.13,2
5,0,4,34,8577741,33.27,0
5,10,0,53,8589138,0.0,0
5,10,1,13,8589138,0.0,2
5,10,2,17,8589138,1.0,3
5,10,3,41,8587356,8.74,2
5,10,4,37,8577741,21.88,0
6,0,0,42,8589152,0.0,0
6,0,1,2,8587255,7.7,3
6,0,2,20,8577820,13.06,0
6,0,3,17,8592374,17.54,6
6,0,4,35,8577785,24.96,0
6,10,0,54,8587255,0.0,0
6,10,1,14,8587255,0.0,3
6,10,2,38,8577820,6.32,0
6,10,3,23,8592374,18.0,6
6,10,4,47,8577785,25.42,0
