time_step,new_reqs_presented,reqs_rejected,reqs_abandonned,obj_cost,in_transit_carried_over,solve_time_seconds,mip_gap,node_count,solve_status
0,18,0,0,123.9344999999903,12,180.00844812393188,0.9639999354497768,2097.0,9
10,7,0,0,142.80449999999882,14,180.01189804077148,0.5455644368023039,221533.0,9
20,14,0,0,169.32329999999638,21,187.72631692886353,0.7451362306332507,14729.0,9
30,7,0,0,230.16019999999662,24,180.02222990989685,0.6908558016098744,54467.0,9
40,10,2,0,1134.339299999975,18,180.02877283096313,0.9415389417044782,3199.0,9
50,14,1,0,1047.0548999999992,28,180.01451897621155,0.9407323558444008,2249.0,9
