time_step,new_reqs_presented,reqs_rejected,reqs_abandonned,obj_cost,in_transit_carried_over,solve_time_seconds,mip_gap,node_count,solve_status
0,5,0,0,32.52690000000001,4,5.739171981811523,0.055202880295091676,23309.0,2
10,6,0,0,58.93380000000002,8,351.01222681999207,0.09910191209567852,1147022.0,2
20,12,0,0,273.63108710156916,18,480.0192232131958,0.8784555254452103,272849.0,9
30,7,2,0,481.19826692147444,17,480.0143189430237,0.8740229303319348,879730.0,9
40,11,0,0,192.0904999999998,21,480.0194470882416,0.7236294039530354,320062.0,9
50,7,0,0,162.07199999999966,21,480.01498198509216,0.5866231105529973,560528.0,9
