time_step,new_reqs_presented,reqs_rejected,reqs_abandonned,obj_cost,in_transit_carried_over,solve_time_seconds,mip_gap,node_count,solve_status
0,18,9,0,2162.9723999997295,7,240.0245521068573,0.9924108190426465,9491.0,9
10,16,10,0,2496.9806999999078,8,240.02886414527893,0.991068413143922,9205.0,9
20,19,13,5,3061.287699999996,10,240.03245902061462,0.9933126253595256,6439.0,9
30,18,15,2,4445.243199999759,11,240.02834796905518,0.9954805761561791,5070.0,9
