time_step,new_reqs_presented,reqs_rejected,reqs_abandonned,obj_cost,in_transit_carried_over,solve_time_seconds,mip_gap,node_count,solve_status
0,18,9,0,2022.374999999994,7,240.006530046463,0.9918077387392434,37213.0,9
10,16,10,0,2372.3912906367505,9,240.0089831352234,0.9908688803398452,52115.0,9
20,18,12,6,3043.6635999999967,11,240.00971794128418,0.9939467880485386,9062.0,9
30,17,14,2,3986.837699999623,11,240.010244846344,0.9951789797884945,8522.0,9
40,22,18,2,4356.87409999989,8,240.01064801216125,0.9956674819894359,3438.0,9
50,26,19,4,4452.873299999981,10,240.01647114753723,0.9957488818779218,4055.0,9
60,26,26,5,7256.850400000007,6,240.009290933609,0.9984131968163238,2987.0,9
