req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins,travel_time_mins,total_system_time
0,completed,8589154,8577786,0,0.0,10.074999999999989,0.0,1,0.0,10.074999999999989,10.074999999999989
1,completed,8587238,8592377,3,3.0,12.891666666666652,0.0,3,0.0,9.891666666666652,9.891666666666652
2,completed,8588858,8577820,1,1.0,7.686666666666724,0.0,3,0.0,6.686666666666724,6.686666666666724
3,completed,8589155,8587238,8,8.0,27.019999999999982,0.0,1,0.0,19.019999999999982,19.019999999999982
4,completed,8591767,8587356,6,12.0,8.266666666666667,0.0,2,6.0,-3.7333333333333325,2.2666666666666675
5,in_transit,8591766,8587255,21,34.0,,0.0,2,13.0,,
6,waiting,8588344,8588858,28,,,,1,,,
7,waiting,8589152,8587255,28,,,,1,,,
8,waiting,8588344,8589158,30,,,,4,,,
9,completed,8589158,8589147,26,56.0,32.86666666666667,0.0,2,30.0,-23.133333333333333,6.866666666666667
10,waiting,8588858,8589141,29,,,,1,,,
11,waiting,8592377,8592374,30,,,,1,,,
12,waiting,8589161,8592374,32,,,,1,,,
13,completed,8589158,8589138,35,38.37833333333331,37.40666666666675,0.0,1,3.378333333333309,-0.9716666666665574,2.4066666666667516
14,waiting,8592377,8577820,33,,,,2,,,
15,waiting,8589161,8589130,31,,,,2,,,
16,in_transit,8591767,8577741,31,32.179999999999886,,0.0,1,1.179999999999886,,
17,waiting,8589131,8577785,35,,,,3,,,
18,in_transit,8589152,8592377,30,30.0,,0.0,4,0.0,,
19,waiting,8587238,8589141,38,,,,1,,,
20,waiting,8577786,8577741,31,,,,3,,,
21,in_transit,8589147,8588351,40,40.0,,0.0,1,0.0,,
22,waiting,8589152,8592378,35,,,,4,,,
23,waiting,8587356,8588344,41,,,,1,,,
24,waiting,8591766,8589155,43,,,,1,,,
25,waiting,8589161,8588351,41,,,,2,,,
26,waiting,8577785,8588858,41,,,,2,,,
27,waiting,8577741,8592377,47,,,,2,,,
28,waiting,8589154,8592375,45,,,,1,,,
29,waiting,8504622,8589131,45,,,,5,,,
30,waiting,8588344,8589155,54,,,,1,,,
31,waiting,8589158,8589155,60,,,,2,,,
32,waiting,8591767,8589152,60,,,,1,,,
33,waiting,8504622,8589147,53,,,,2,,,
34,waiting,8504622,8589141,56,,,,2,,,
35,waiting,8592377,8589154,58,,,,3,,,
36,waiting,8588858,8589155,55,,,,1,,,
37,waiting,8592375,8589161,50,,,,1,,,
38,waiting,8588858,8592375,50,,,,2,,,
