time_step,new_reqs_presented,reqs_rejected,reqs_abandonned,obj_cost,in_transit_carried_over,solve_time_seconds,mip_gap,node_count,solve_status
0,5,0,0,32.52690000000001,4,5.263885974884033,0.24925556634803026,19014.0,2
10,6,0,0,58.93379777838925,9,180.0099949836731,0.3072772780317498,549419.0,9
20,12,0,0,244.00669999999786,18,180.01129817962646,0.8705217227973924,94684.0,9
30,7,0,0,406.3185999999987,21,180.01846385002136,0.8505947060639848,313727.0,9
40,9,2,0,593.1500999999989,22,180.01925086975098,0.7496663797354919,104475.0,9
50,9,0,0,186.50469999999723,22,180.01527619361877,0.6909029000086191,125631.0,9
60,7,1,0,629.9242999999965,17,180.01803398132324,0.8800589673462517,156946.0,9
