time_step,new_reqs_presented,reqs_rejected,reqs_abandonned,obj_cost,in_transit_carried_over,solve_time_seconds,mip_gap,node_count,solve_status
0,18,8,0,2066.6535999997923,10,480.05177092552185,0.992465145515222,73914.0,9
10,15,11,0,4396.277391843398,10,480.0247850418091,0.9945743968218652,53812.0,9
20,19,16,6,4549.612699999904,9,480.03352904319763,0.9962039159828733,10953.0,9
30,22,16,1,3638.4088933436296,11,480.06730914115906,0.9941102312019879,16752.0,9
40,23,20,3,4610.987899999898,8,480.0229082107544,0.9954869313363417,5769.0,9
50,23,17,9,4438.49789999992,12,480.05405497550964,0.9947726916225802,11341.0,9
60,25,25,4,6424.7916999999,8,480.04490399360657,0.9978334900982933,4152.0,9
