req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins,travel_time_mins,total_system_time
0,completed,8589154,8577786,0,0.0,20.426666666666677,0.0,1,0.0,20.426666666666677,20.426666666666677
1,completed,8588858,8592377,3,13.0,17.220000000000013,0.0,3,10.0,4.220000000000013,14.220000000000013
2,completed,8587255,8577820,1,5.65,6.319999999999936,1.0,3,4.65,0.669999999999936,5.319999999999936
3,completed,8589154,8587238,8,16.09333333333342,24.46333333333334,0.0,1,8.093333333333419,8.36999999999992,16.46333333333334
4,completed,8589138,8587356,6,6.0,8.736666666666663,4.0,2,0.0,2.736666666666663,2.736666666666663
5,completed,8591766,8587255,21,36.753333333333345,46.7,2.0,2,15.753333333333345,9.946666666666658,25.700000000000003
6,completed,8588344,8588858,28,28.0,38.319999999999936,1.0,1,0.0,10.319999999999936,10.319999999999936
7,completed,8589152,8587255,28,0.0,46.73666666666671,2.0,1,-28.0,46.73666666666671,18.736666666666707
8,completed,8588344,8589158,30,46.02999999999999,50.86666666666667,1.0,4,16.029999999999987,4.83666666666668,20.866666666666667
9,completed,8589158,8589147,26,34.80333333333343,35.86666666666667,2.0,2,8.803333333333427,1.0633333333332402,9.866666666666667
10,completed,8588858,8589141,29,39.016666666666666,63.61999999999982,1.0,1,10.016666666666666,24.603333333333154,34.61999999999982
11,completed,8592377,8592374,30,0.0,47.54333333333328,3.0,1,-30.0,47.54333333333328,17.54333333333328
12,completed,8589161,8592374,32,32.0,34.36666666666667,0.0,1,0.0,2.366666666666667,2.366666666666667
13,completed,8589158,8589138,35,34.84000000000009,37.620000000000005,2.0,1,-0.15999999999991132,2.779999999999916,2.6200000000000045
14,completed,8592377,8577820,33,30.259999999999906,42.63666666666661,3.0,2,-2.7400000000000944,12.376666666666708,9.636666666666613
15,completed,8589161,8589130,31,6.219999999999949,44.836666666666645,0.0,2,-24.78000000000005,38.616666666666696,13.836666666666645
16,in_transit,8591767,8577741,31,49.0,,4.0,1,18.0,,
17,completed,8589131,8577785,35,41.66999999999999,47.539999999999964,0.0,3,6.6699999999999875,5.869999999999976,12.539999999999964
18,completed,8589152,8592377,30,43.0,58.036666666666626,4.0,4,13.0,15.036666666666626,28.036666666666626
19,completed,8587238,8589141,38,40.15,51.11666666666667,3.0,1,2.1499999999999986,10.966666666666669,13.116666666666667
20,completed,8577786,8577741,31,31.45,36.17333333333332,1.0,3,0.4499999999999993,4.7233333333333185,5.173333333333318
21,completed,8589147,8588351,40,40.0,43.73666666666657,2.0,1,0.0,3.736666666666572,3.736666666666572
22,completed,8589152,8592378,35,43.0,56.993333333333304,4.0,4,8.0,13.993333333333304,21.993333333333304
23,completed,8587356,8588344,41,54.073333333333196,62.22666666666669,3.0,1,13.073333333333196,8.153333333333492,21.226666666666688
24,completed,8591766,8589155,43,43.0,67.0,4.0,1,0.0,24.0,24.0
25,completed,8589161,8588351,41,48.94333333333315,43.7,2.0,2,7.94333333333315,-5.2433333333331476,2.700000000000003
26,completed,8577785,8588858,41,43.90333333333367,58.6400000000001,0.0,2,2.90333333333367,14.73666666666643,17.6400000000001
27,completed,8577741,8592377,47,52.29333333333333,63.460000000000036,2.0,2,5.2933333333333294,11.166666666666707,16.460000000000036
28,completed,8589154,8592375,45,50.95666666666686,60.666666666666664,2.0,1,5.956666666666862,9.709999999999802,15.666666666666664
29,completed,8504622,8589131,45,48.02000000000001,69.53666666666666,3.0,5,3.0200000000000102,21.51666666666665,24.53666666666666
30,in_transit,8588344,8589155,54,58.506666666666774,,3.0,1,4.506666666666774,,
31,in_transit,8589158,8589155,60,63.1966666666666,,0.0,2,3.1966666666666015,,
32,completed,8591767,8589152,60,60.0,62.95333333333318,1.0,1,0.0,2.953333333333177,2.953333333333177
33,completed,8504622,8589147,53,52.32333333333282,60.6,1.0,2,-0.676666666667181,8.276666666667182,7.600000000000001
34,completed,8504622,8589141,56,61.46666666666667,63.82333333333314,1.0,2,5.466666666666669,2.35666666666647,7.823333333333139
35,in_transit,8592377,8589154,58,58.0,,4.0,3,0.0,,
36,completed,8588858,8589155,55,57.413333333333306,59.846666666666664,0.0,1,2.4133333333333056,2.4333333333333584,4.846666666666664
37,completed,8592375,8589161,50,50.72666666666664,53.57999999999993,0.0,1,0.7266666666666382,2.853333333333289,3.5799999999999272
38,completed,8588858,8592375,50,50.0,60.630000000000166,2.0,2,0.0,10.630000000000166,10.630000000000166
39,waiting,8592374,8589130,66,,,,2,,,
40,in_transit,8592377,8591767,63,63.423333333333375,,2.0,3,0.42333333333337464,,
41,waiting,8587356,8592378,65,,,,1,,,
42,in_transit,8588344,8589154,67,62.26333333333335,,3.0,2,-4.73666666666665,,
43,waiting,8577741,8592378,70,,,,1,,,
44,in_transit,8589141,8577820,64,63.8599999999998,,1.0,2,-0.14000000000019952,,
45,waiting,8577820,8588858,68,,,,1,,,
46,waiting,8589147,8592377,79,,,,4,,,
47,waiting,8589138,8592378,79,,,,2,,,
48,waiting,8577741,8589131,73,,,,1,,,
49,waiting,8577820,8589271,77,,,,4,,,
50,waiting,8591767,8589161,70,,,,5,,,
51,waiting,8577785,8577786,72,,,,2,,,
52,waiting,8589154,8504622,80,,,,1,,,
53,waiting,8589138,8589152,81,,,,1,,,
54,waiting,8577741,8589152,87,,,,2,,,
