bus_id,decision_interval,step_sequence,logical_node,location,arrival_time,passenger_load
0,0,0,36,8589131,0.0,0
0,0,1,12,8589155,9.32,4
0,0,2,30,8592374,10.66,0
0,0,3,2,8587255,14.26,3
0,0,4,14,8589161,16.43,4
0,0,5,20,8577820,20.57,1
0,0,6,32,8577820,20.6,0
0,0,7,6,8587255,25.82,1
0,0,8,24,8588858,33.81,0
0,10,0,50,8589155,0.0,2
0,10,1,16,8589155,0.0,6
0,10,2,41,8592374,3.3,2
0,10,3,13,8589161,5.54,3
0,10,4,38,8592374,7.92,2
0,10,5,18,8587255,11.53,5
0,10,6,24,8589161,13.7,6
0,10,7,43,8577820,17.83,3
0,10,8,49,8577820,17.87,2
0,10,9,19,8587255,23.09,3
0,10,10,44,8588858,31.07,2
0,10,11,5,8587356,43.38,6
0,10,12,30,8588344,54.29,2
1,0,0,37,8589141,0.0,0
1,0,1,16,8589138,1.95,2
1,0,2,9,8588858,15.32,4
1,0,3,13,8588858,15.35,6
1,0,4,7,8577741,17.59,7
1,0,5,34,8577741,17.63,5
1,0,6,10,8587255,25.39,6
1,0,7,25,8587255,25.43,5
1,0,8,27,8589147,32.17,3
1,0,9,31,8589138,33.58,1
1,0,10,28,8589141,35.3,0
1,10,0,51,8589138,1.0,0
1,10,1,17,8589138,1.0,2
1,10,2,20,8577741,14.92,3
1,10,3,42,8577741,14.96,1
1,10,4,21,8588858,17.24,3
1,10,5,23,8588858,17.28,5
1,10,6,22,8587255,23.12,6
1,10,7,12,8587255,23.15,8
1,10,8,45,8587255,23.19,7
1,10,9,37,8589158,30.83,5
1,10,10,46,8589147,31.69,3
1,10,11,48,8589138,33.11,1
1,10,12,0,8589152,34.07,2
1,10,13,4,8589152,34.1,5
1,10,14,47,8589141,34.89,4
1,10,15,3,8589147,38.21,5
1,10,16,28,8588351,46.92,4
1,10,17,29,8592378,51.59,1
1,10,18,25,8592377,52.6,0
