passenger_id,origin,destination,appear_time,board_time,arrival_time,status,wait_time,travel_time,total_time,assigned_vehicle,vehicle_type
P3503,8588344,8592374,14575.722206053215,15035.0,15678.0,ARRIVED,459.2777939467851,643.0,1102.277793946785,,Bus
P3504,8588344,8592374,14594.057633871229,15035.0,15678.0,ARRIVED,440.942366128771,643.0,1083.942366128771,,Bus
P3505,8588344,8592374,14602.862050102147,15035.0,15678.0,ARRIVED,432.1379498978531,643.0,1075.137949897853,,Bus
P3506,8588344,8592374,14798.357701334424,15035.0,15678.0,ARRIVED,236.64229866557616,643.0,879.6422986655762,,Bus
P3507,8588344,8592374,14835.268167849386,15035.0,15678.0,ARRIVED,199.73183215061363,643.0,842.7318321506136,,Bus
P3508,8588344,8592374,14903.962985120248,15035.0,15678.0,ARRIVED,131.03701487975195,643.0,774.037014879752,,Bus
P3509,8588344,8592374,14942.155001657411,15035.0,15678.0,ARRIVED,92.84499834258895,643.0,735.844998342589,,Bus
P3510,8588344,8592374,14953.679182013355,15035.0,15678.0,ARRIVED,81.32081798664512,643.0,724.3208179866451,,Bus
P3511,8577786,8592374,14548.947409792509,15148.0,15678.0,ARRIVED,599.0525902074914,530.0,1129.0525902074914,,Bus
P3512,8577786,8592374,14594.325913574236,15148.0,15678.0,ARRIVED,553.6740864257645,530.0,1083.6740864257645,,Bus
P3513,8577786,8592374,14714.574123768272,15148.0,15678.0,ARRIVED,433.42587623172767,530.0,963.4258762317277,,Bus
P3514,8577785,8592374,14507.116545459112,15230.0,15678.0,ARRIVED,722.8834545408881,448.0,1170.8834545408881,,Bus
P3515,8577785,8592374,14519.349485815794,15230.0,15678.0,ARRIVED,710.6505141842063,448.0,1158.6505141842063,,Bus
P3516,8577785,8592374,14614.643959019819,15230.0,15678.0,ARRIVED,615.3560409801812,448.0,1063.3560409801812,,Bus
P3517,8577785,8592374,14760.22103548291,15230.0,15678.0,ARRIVED,469.77896451709057,448.0,917.7789645170906,,Bus
P3518,8577785,8592374,14949.053586146696,15230.0,15678.0,ARRIVED,280.94641385330397,448.0,728.946413853304,,Bus
P3519,8592375,8592374,14499.390649182596,15029.0,15801.0,ARRIVED,529.6093508174035,772.0,1301.6093508174035,,Bus
P3520,8592377,8592374,14403.709525246459,14410.0,14948.0,ARRIVED,6.290474753541275,538.0,544.2904747535413,,Bus
P3521,8592377,8592374,14483.299418204218,15389.0,15801.0,ARRIVED,905.7005817957815,412.0,1317.7005817957815,,Bus
P3522,8592377,8592374,14544.033014742428,15389.0,15801.0,ARRIVED,844.9669852575717,412.0,1256.9669852575717,,Bus
P3523,8592377,8592374,14710.06540268088,15389.0,15801.0,ARRIVED,678.9345973191193,412.0,1090.9345973191193,,Bus
P3524,8592377,8592374,14746.59332822481,15389.0,15801.0,ARRIVED,642.4066717751903,412.0,1054.4066717751903,,Bus
P3525,8592377,8592374,14880.652382004411,15389.0,15801.0,ARRIVED,508.34761799558873,412.0,920.3476179955887,,Bus
P3526,8589158,8592374,14639.776455668358,14651.0,15196.0,ARRIVED,11.223544331642188,545.0,556.2235443316422,,Bus
P3527,8577741,8592374,14406.436476610099,,,ABANDONED,,,,,Bus
P3528,8577741,8592374,14991.33091102228,15896.0,16310.0,ARRIVED,904.6690889777201,414.0,1318.66908897772,,Bus
P3529,8589155,8592374,14574.062764259765,,,ABANDONED,,,,,Bus
P3530,8577820,8592374,14970.696983985044,15691.0,16161.0,ARRIVED,720.3030160149556,470.0,1190.3030160149556,,Bus
P3531,8587238,8592374,14453.692006477613,14731.0,15137.0,ARRIVED,277.3079935223868,406.0,683.3079935223868,,Bus
P3532,8587238,8592374,14575.298079092954,14731.0,15137.0,ARRIVED,155.70192090704586,406.0,561.7019209070459,,Bus
P3533,8589141,8589161,15018.905151552804,15434.0,16011.0,ARRIVED,415.09484844719555,577.0,992.0948484471955,,Bus
P3534,8589141,8589161,15205.193641106436,15434.0,16011.0,ARRIVED,228.8063588935638,577.0,805.8063588935638,,Bus
P3535,8589141,8589161,15223.974864425963,15434.0,16011.0,ARRIVED,210.02513557403654,577.0,787.0251355740365,,Bus
P3536,8589152,8589161,15377.27817028038,15486.0,16011.0,ARRIVED,108.72182971961956,525.0,633.7218297196196,,Bus
P3537,8589138,8592374,15365.324537100001,15551.0,16253.0,ARRIVED,185.67546289999882,702.0,887.6754628999988,,Bus
P3538,8591766,8592374,15071.7214074581,15602.0,16206.0,ARRIVED,530.2785925418993,604.0,1134.2785925418993,,Bus
P3539,8591766,8592374,15306.268726868446,15602.0,16206.0,ARRIVED,295.7312731315542,604.0,899.7312731315542,,Bus
P3540,8587255,8592374,15082.946560555512,15253.0,15529.0,ARRIVED,170.0534394444876,276.0,446.0534394444876,,Bus
P3541,8587255,8592374,15404.718539837013,15871.0,16206.0,ARRIVED,466.28146016298706,335.0,801.2814601629871,,Bus
P3542,8587255,8592374,15509.774659716948,15871.0,16206.0,ARRIVED,361.225340283052,335.0,696.225340283052,,Bus
P3543,8589161,8589141,15363.612492359558,15789.0,16425.0,ARRIVED,425.387507640442,636.0,1061.387507640442,,Bus
P3544,8589161,8589141,15504.505195562986,15789.0,16425.0,ARRIVED,284.49480443701395,636.0,920.494804437014,,Bus
P3545,8589161,8589141,15506.741153138557,15789.0,16425.0,ARRIVED,282.2588468614431,636.0,918.2588468614431,,Bus
P3546,8589161,8589152,15427.67105489633,15789.0,16372.0,ARRIVED,361.3289451036708,583.0,944.3289451036708,,Bus
P3547,8589161,8589138,15357.051993312367,15789.0,16283.0,ARRIVED,431.9480066876331,494.0,925.9480066876331,,Bus
P3548,8589161,8587255,15258.721221425867,15789.0,15937.0,ARRIVED,530.278778574133,148.0,678.278778574133,,Bus
P3549,8589161,8589131,15085.986670384546,15382.0,16098.0,ARRIVED,296.0133296154545,716.0,1012.0133296154545,,Bus
P3550,8589161,8589131,15115.474178269978,15382.0,16098.0,ARRIVED,266.52582173002156,716.0,982.5258217300216,,Bus
P3551,8589161,8577786,15507.336067787895,16011.0,16742.0,ARRIVED,503.66393221210456,731.0,1234.6639322121046,,Bus
P3552,8589161,8504622,15048.707258834645,15789.0,16224.0,ARRIVED,740.2927411653545,435.0,1175.2927411653545,,Bus
P3553,8589161,8504622,15303.176887657379,15789.0,16224.0,ARRIVED,485.82311234262124,435.0,920.8231123426212,,Bus
P3554,8589161,8504622,15390.942048658453,15789.0,16224.0,ARRIVED,398.05795134154687,435.0,833.0579513415469,,Bus
P3555,8589161,8504622,15468.59729041889,15789.0,16224.0,ARRIVED,320.4027095811107,435.0,755.4027095811107,,Bus
P3556,8589161,8504622,15472.07517644271,15789.0,16224.0,ARRIVED,316.92482355729044,435.0,751.9248235572904,,Bus
P3557,8589161,8504622,15513.971310541505,15789.0,16224.0,ARRIVED,275.02868945849514,435.0,710.0286894584951,,Bus
P3558,8589161,8589271,15074.57567029769,15789.0,16488.0,ARRIVED,714.4243297023095,699.0,1413.4243297023095,,Bus
P3559,8589161,8592375,15221.450384100257,15996.0,16791.0,ARRIVED,774.549615899743,795.0,1569.549615899743,,Bus
P3560,8589161,8592375,15305.231077623459,15996.0,16791.0,ARRIVED,690.768922376541,795.0,1485.768922376541,,Bus
P3561,8589161,8592375,15438.429337489019,15996.0,16791.0,ARRIVED,557.5706625109815,795.0,1352.5706625109815,,Bus
P3562,8589161,8592377,15039.711782064744,15078.0,15713.0,ARRIVED,38.2882179352564,635.0,673.2882179352564,,Bus
P3563,8589161,8589158,15056.670935341188,15088.0,15611.0,ARRIVED,31.329064658812058,523.0,554.3290646588121,,Bus
