time,event_type,description
4006.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62522.0 completed route, served 18 passengers"
4021.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68087.0 completed route, served 7 passengers"
4025.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66342.0 completed route, served 28 passengers"
4076.9478039357623,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
4100.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66345.0 completed route, served 33 passengers"
4207.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62526.0 completed route, served 18 passengers"
4306.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
4411.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62547.0 completed route, served 46 passengers"
4440.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
4550.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62534.0 completed route, served 21 passengers"
4594.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR4_T68090.0 completed route, served 8 passengers"
4663.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
4686.213007950489,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
4730.7297568057975,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
4766.0,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
4794.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66353.0 completed route, served 39 passengers"
4794.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
4869.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68089.0 completed route, served 6 passengers"
4915.199227242944,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
4945.786831968337,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
4980.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
4983.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62561.0 completed route, served 32 passengers"
5080.804262959313,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
5126.4163031138905,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
5190.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
5220.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
5268.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62540.0 completed route, served 30 passengers"
5268.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
5290.507866969726,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
5517.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
5610.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
5631.781698883487,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
5646.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR4_T68092.0 completed route, served 6 passengers"
5690.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62569.0 completed route, served 54 passengers"
5752.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
5756.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62548.0 completed route, served 23 passengers"
5801.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66361.0 completed route, served 26 passengers"
5813.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62552.0 completed route, served 26 passengers"
5928.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66358.0 completed route, served 25 passengers"
5960.4703441165275,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
5974.0584439330705,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
